classificacao_manuela,id,text
0,1641953410151858181,dantinhas faz sentido porque vamos deixar domi kkk
0,1641953055447953416,ahhh agora tudo faz sentido né besta
0,1641953010736570368,toda vez vou tentar deixar vida artista lado focar emprego “ normal ” aparece outra proposta deixa pensativo deus abençoe novamente nessa escolha
0,1641952909125459968,time ridículo voltou programação normal brigar pra cair
0,1641952313706266624,"chegada frente fria campo bom rs após 19 hs acumulado apenas 2.4 mm rajada vento 39,2 km h temperatura 19 hs 28.7 caiu agradáveis 23.2 20 hs mês termina média mensal 25.2 segundo quente 38 anos boa noite todos"
0,1641951549592162305,fazia tempo ouvia trovão desse tamanho acho uns três minutos pipoco coisa linda pronto achei coisa gostar brasília
0,1641951508290732042,prihmarks vc quer ir shopping exemplo comprar alguma coisa passear filho etc passar hora carro percurso 4 km dá onibus ai ninguém vai prejuízo grande pro comércio perda qualidade vida
0,1641951469241860097,normal perde contas saber quantos meses tá pq sei quantos meses tô
0,1641951039552208896,isuperio ganhou mérito próprio diminuir colocar todo sentido q faz redor brancos ve vc q ta difamando historia
0,1641950720352976897,1alviverde faz sentido pq vai passear vai jogar breno tabaco lopes navarro
0,1641950653353172993,isuperio conversa sarah fodase sarah chora conversa identifica votaaa nela sentido
0,1641950535430414336,evxrglowy misteriomundo pior nenhum dois deu luxo clicar matéria ler cara “ cérebro ” cursava faculdade qi acima normal kkkkkkkkkkk
0,1641949705083969536,tô triste situação aqui alguém pode achar normal zombar alguém assim cara mt podre ter muita falta amor
0,1641948054868639744,hoje passei parada tão sinistra ambiente energia tão ruim fez vomitar nunca sentido mulher chegou queria abraçá-la chorar tanto bom ver alguém compartilha mesma energia
0,1641947961612533760,tanto fico carente tô presa plantão chega casa passa oq pessoa presa diz q sente chega rua passa agora entendi tudo agr tudo faz sentido
0,1641947317128380424,tô magoada volto normal pedir desculpa
0,1641946623315181569,cólica hoje ta normal deus senhor faz diu sair banho
0,1641946514435059713,sergioajbarrett triste fazendo assange insuportável assistir tortura sentido horror
0,1641945819115925504,mochila vintage veludo marca 775 década 80 dois bolsos externos fechamento zíper item usado bom estado conservação ideal colecionadores uso normal artes antiguidades fernandorainerioutlook.com
0,1641945781635522563,joão vítor exatamente 40 minutos mando mensagem dizendo chegando
0,1641945655311581184,agora vi menor sentido cada vez passa matéria torcedor menina colo diz acrescenta coisas depoimento kkk
0,1641945536117833729,vitorschetino óbvio tá jogando menos bola qualquer peladeiro espaço botafogo provar muuuuito alguns poucos minutos
0,1641945508754202624,notas roh supercardofhonor ps nota pra jeff cobb vs tracy williams pois assisti minutos finais luta
0,1641945190645506049,falta 5 minutos aki quase morrendo ansiedade
0,1641944683281612803,acabei desbloquear memória nao fazia ideia desbloqueei fluxo perfeito banda strike ... manoooooooooo tipo manooooooooooooo manoooooooo ouvia todo dia mano
0,1641944351084277761,pra__sol globalserviceresumes sangue jesus purifica pecados fortifica vida fé sentido direção tomados presença corpo sangue senhor santificam corpo vida
0,1641943959072133127,tão difícil entender tatuagem ... normal ... __gdsn
0,1641943349027381248,"gente passageiros supervia_trens atura cada estação trem fica parado menos cinco minutos desrespeito consumidor paga passagem 7,40"
